trust_name,ticker,aic_sector,source_url,manager,management_group,notes
JPMorgan American Investment Trust,JAM,North America,https://www.theaic.co.uk/companydata/jpmorgan-american,"Felise Agranoff, Graham Spence, Jack Caffrey",J.P. Morgan Asset Management,
JPMorgan Asia Growth & Income,JAGI,Asia Pacific Equity Income,https://www.theaic.co.uk/companydata/jpmorgan-asia-growth-income,"Pauline Ng, Robert Lloyd",J.P. Morgan Asset Management,
JPMorgan Claverhouse Investment Trust,JCH,UK Equity Income,https://www.theaic.co.uk/companydata/jpmorgan-claverhouse,"Anthony Lynch, Katen Patel, Callum Abbot",J.P. Morgan Asset Management,
JPMorgan Emerging Europe Middle East & Africa Securities,JEMA,Global Emerging Markets,https://www.theaic.co.uk/companydata/jpmorgan-emerging-europe-middle-east-africa-securities,"Oleg Biryulyov, Luis Carrillo",J.P. Morgan Asset Management,Now styled without 'Securities' suffix
JPMorgan Emerging Markets Dividend Income,JEMI,Global Emerging Markets,https://www.theaic.co.uk/companydata/jpmorgan-emerging-markets-dividend-income,Omar Negyal,J.P. Morgan Asset Management,
JPMorgan Emerging Markets Growth & Income,JMGI,Global Emerging Markets,https://www.theaic.co.uk/companydata/jpmorgan-emerging-markets-growth-income,"John Citron, Austin Forey",J.P. Morgan Asset Management,
JPMorgan European Discovery,JEDT,European Smaller Companies,https://www.theaic.co.uk/companydata/jpmorgan-european-discovery,"Jonathan Ingram, Jack Featherby, Jules Bloch",J.P. Morgan Asset Management,
JPMorgan European Growth & Income,JEGI,Europe,https://www.theaic.co.uk/companydata/jpmorgan-european-growth-income,"Zenah Shuhaiber, Timothy Lewis, Alexander Fitzalan Howard",J.P. Morgan Asset Management,
JPMorgan Global Growth & Income,JGGI,Global Equity Income,https://www.theaic.co.uk/companydata/jpmorgan-global-growth-income,"James Cook, Sam Witherow, Helge Skibeli",J.P. Morgan Asset Management,
JPMorgan India Growth & Income,JIGI,India / Indian Subcontinent,https://www.theaic.co.uk/companydata/jpmorgan-india-growth-income,"Amit Mehta, Sandip Patodia",J.P. Morgan Asset Management,
JPMorgan Japanese Investment Trust,JFJ,Japan,https://www.theaic.co.uk/companydata/jpmorgan-japanese,"Nicholas Weindling, Miyako Urabe",J.P. Morgan Asset Management,
Law Debenture,LWDB,UK Equity Income,https://www.theaic.co.uk/companydata/law-debenture-corporation,"Laura Foll, James Henderson",Law Debenture Corporation,Full name Law Debenture Corporation
Mercantile Investment Trust,MRC,UK All Companies,https://www.theaic.co.uk/companydata/mercantile-investment-trust,"Anthony Lynch, Guy Anderson",J.P. Morgan Asset Management,
Merchants Trust,MRCH,UK Equity Income,https://www.theaic.co.uk/companydata/merchants-trust,"Richard Knight, Andrew Koch, Simon Gergel",Allianz Global Investors,
Mid Wynd International Investment Trust,MWY,Global,https://www.theaic.co.uk/companydata/mid-wynd-international,"Louis Florentin-Lee, Barnaby Wilson",Lazard Asset Management,
Monks Investment Trust,MNKS,Global,https://www.theaic.co.uk/companydata/monks,"Helen Xiong, Michael Taylor, Malcolm MacColl",Baillie Gifford,
Murray Income Trust,MUT,UK Equity Income,https://www.theaic.co.uk/companydata/murray-income,"Nick Shenton, Andy Marsh, Jamie Lindsay, Adrian Frost",Artemis Fund Managers Limited,
Murray International Trust,MYI,Global Equity Income,https://www.theaic.co.uk/companydata/murray-international,"Martin Connaghan, Samantha Fitzpatrick",Aberdeen,
NB Private Equity Partners,NBPE,Private Equity,https://www.theaic.co.uk/companydata/neuberger-private-equity-partners,"John P. Buser, Brien P. Smith, Peter J. Von Lehe, David S. Stonberg, Jonathan D. Shofet, John H. Massey, Joana Rocha Scaff, David Morse, Patricia Miller Zollar, Kent Chen, Michael Kramer, Anthony Tutrone",Neuberger Alternatives Advisers,Renamed Neuberger Private Equity Partners; ticker unchanged (NBPE)
NextEnergy Solar Fund,NESF,Renewable Energy Infrastructure,https://www.theaic.co.uk/companydata/nextenergy-solar-fund,"Michael Bonte-Friedheim, Aldo Beolchini, Ross Grier, Giulia Guidi",NextEnergy Capital IM,
North American Income Trust,NAIT,North America,https://www.theaic.co.uk/companydata/north-american-income-trust,"Francis Radano, Jeremiah Buckley",Janus Henderson Investors,
North Atlantic Smaller Companies Investment Trust,NAS,Global Smaller Companies,https://www.theaic.co.uk/companydata/north-atlantic-smaller-companies,Christopher Mills (CEO),Harwood Capital LLP,"NAS is not an AIC member; manager sourced from the trust's own site (nascit.co.uk)/Harwood Capital, not an AIC companydata page"
Oakley Capital Investments,OCI,Private Equity,https://www.theaic.co.uk/companydata/oakley-capital-investments,Not Disclosed,Oakley Capital Investments,
Octopus Renewables Infrastructure Trust,ORIT,Renewable Energy Infrastructure,https://www.theaic.co.uk/companydata/octopus-renewables-infrastructure,"Matt Setchell, Chris Gaydon, David Bird",Octopus Renewables Ltd (as Octopus Energy Generation),
Pacific Horizon Investment Trust,PHI,Asia Pacific,https://www.theaic.co.uk/companydata/pacific-horizon-investment-trust,"Roderick Snell, Ben Durrant",Baillie Gifford,
Pantheon Infrastructure,PINT,Infrastructure,https://www.theaic.co.uk/companydata/pantheon-infrastructure,Richard Sem,Pantheon Ventures,
Pantheon International,PIN,Private Equity,https://www.theaic.co.uk/companydata/pantheon-international,Charlotte Morris,Pantheon Ventures,
Partners Group Private Equity,PEY,Private Equity,https://www.theaic.co.uk/companydata/partners-group-private-equity,"Rene Biner, Marcel Erni, Alfred Gantner, Philipp Gysler, Walter Keller, Sandra Pajarola, Christoph Rubeli, Urs Wietlisbach",Partners Group,
Patria Private Equity Trust,PPET,Private Equity,https://www.theaic.co.uk/companydata/patria-private-equity-trust,"Alan Gauld, Patrick Knechtli, Mark Nicolson, Simon Tysko, Ramone Moody",Patria Capital Partners,
Perpetual Income & Growth Investment Trust,PLI,UK Equity Income,https://en.wikipedia.org/wiki/Perpetual_Income_%26_Growth_Investment_Trust,,,"Merged into Temple Bar Investment Trust, c.2020/2021"
Pershing Square Holdings,PSH,North America,https://www.theaic.co.uk/companydata/pershing-square-holdings,William A Ackman,Pershing Square Capital Management,
Polar Capital Global Financials Trust,PCFT,Financials & Financial Innovation,https://www.theaic.co.uk/companydata/polar-capital-global-financials,"Nick Brind, Tom Dorner, George Barrow",Polar Capital Holdings,
Polar Capital Global Healthcare Trust,PCGH,Healthcare & Biotechnology,https://www.theaic.co.uk/companydata/polar-capital-global-healthcare,"James Douglas, Gareth Powell",Polar Capital Holdings,
Polar Capital Technology Trust,PCT,Technology & Technology Innovation,https://www.theaic.co.uk/companydata/polar-capital-technology,"Ben Rogoff, Alastair Unwin",Polar Capital Holdings,
PRS REIT,PRSR,Property - UK Residential,https://www.theaic.co.uk/aic/news/industry-news/prs-reit-headed-for-the-exit,,,Shareholders approved voluntary liquidation/delisting late 2025
The Renewables Infrastructure Group,TRIG,Renewable Energy Infrastructure,https://www.theaic.co.uk/companydata/renewables-infrastructure-group,Minesh Shah,InfraRed Capital Partners,
RIT Capital Partners,RCP,Flexible Investment,https://www.theaic.co.uk/companydata/rit-capital-partners,Maggie Fanari,RIT Capital Partners,
RTW Biotech Opportunities,RTW,Healthcare & Biotechnology,https://www.theaic.co.uk/companydata/rtw-biotech-opportunities,"Naveen Yalamanchi, Roderick Wong, Woody Stileman, Oliver Kenyon",RTW Investments,
Ruffer Investment Company,RICA,Flexible Investment,https://www.theaic.co.uk/companydata/ruffer-investment-company,"Alexander Chartres, Jasmine Yeo, Ian Rees",Ruffer,
Schiehallion Fund,MNTN,Growth Capital,https://www.theaic.co.uk/companydata/schiehallion-fund,"Peter Singlehurst, Robert Natzler",Baillie Gifford,
Schroder Asian Total Return Investment Company,ATR,Asia Pacific,https://www.theaic.co.uk/companydata/schroder-asian-total-return,"Robin Parbrook, Lee King Fuei, King Fuei Lee",Schroder Investment Management,
Schroder AsiaPacific Fund,SDP,Asia Pacific,https://www.theaic.co.uk/companydata/schroder-asiapacific-fund,Abbas Barkhordar,Schroder Investment Management,
Schroder Income Growth Fund,SCF,UK Equity Income,https://www.theaic.co.uk/companydata/schroder-income-growth-fund,Sue Noffke,Schroder Investment Management,
Schroder Japan Trust,SJG,Japan,https://www.theaic.co.uk/companydata/schroder-japan-trust,Masaki Taketsume,Schroder Investment Management,
Schroder Oriental Income Fund,SOI,Asia Pacific Equity Income,https://www.theaic.co.uk/companydata/schroder-oriental-income,Richard Sennitt,Schroder Investment Management,
Schroders Capital Global Innovation Trust,INOV,Growth Capital,https://www.theaic.co.uk/companydata/schroders-capital-global-innovation-trust,"Tim Creed, Harry Raikes",Schroder Investment Management,
Scottish American Investment Company,SAIN,Global Equity Income,https://www.theaic.co.uk/companydata/scottish-american,"James Dow, Ross Mathison",Baillie Gifford,
Scottish Investment Trust,SCIN,Global,https://en.wikipedia.org/wiki/Scottish_Investment_Trust,,,"Merged into JPMorgan Global Growth & Income, Sept 2022"
Scottish Mortgage Investment Trust,SMT,Global,https://www.theaic.co.uk/companydata/scottish-mortgage,"Tom Slater, Lawrence Burns",Baillie Gifford,
Sequoia Economic Infrastructure Income Fund,SEQI,Infrastructure,https://www.theaic.co.uk/companydata/sequoia-economic-infrastructure-income,Steven Cook,Sequoia Investment Management,
Seraphim Space Investment Trust,SSIT,Growth Capital,https://www.theaic.co.uk/companydata/seraphim-space-investment-trust,"Mark Boggett, James Bruegger, Rob Desborough",Seraphim Space,
Smithson Investment Trust,SSON,Global Smaller Companies,https://www.jamessharp.co.uk/market-news/smithson-investment-trust-plc-recommended-proposals-for-the-winding-up-of-the-company/,,,Winding up proposed Jan 2026
Syncona,SYNC,Healthcare & Biotechnology,https://www.theaic.co.uk/companydata/syncona,Chris Hollowood,Syncona Investment Management Limited,
Temple Bar Investment Trust,TMPL,UK Equity Income,https://www.theaic.co.uk/companydata/temple-bar-investment-trust,"Nicholas Purves, Ian Lance",RWC Asset Management (Redwheel),
Templeton Emerging Markets Investment Trust,TEM,Global Emerging Markets,https://www.theaic.co.uk/companydata/templeton-emerging-markets,"Chetan Sehgal, Andrew Ness",Franklin Templeton Investments,
TR Property Investment Trust,TRY,Property Securities,https://www.theaic.co.uk/companydata/tr-property,"Alban Lhonneur, Jo Elliott, George R. Gay, Marcus Phayre-Mudge",Columbia Threadneedle,
Twentyfour Income Fund,TFIF,Debt - Structured Finance,https://www.theaic.co.uk/companydata/twentyfour-income-fund,"Aza Teeuwen, Douglas Charleston, Elena Rinaldi, Pauline Quirin",TwentyFour Asset Management,
UK Commercial Property REIT,UKCM,Property - UK Commercial,https://www.theaic.co.uk/aic/news/industry-news/tritax-big-box-reit-in-merger-talks-with-uk-commercial-property-reit,,,Merged into Tritax Big Box REIT
Utilico Emerging Markets,UEM,Global Emerging Markets,https://www.theaic.co.uk/companydata/utilico-emerging-markets-trust,"Charles Jillings, Jacqueline Broers",ICM,
Vietnam Enterprise Investments,VEIL,Country Specialist,https://www.theaic.co.uk/companydata/vietnam-enterprise-investments,Tuan Anh Le,Dragon Capital,
VinaCapital Vietnam Opportunity Fund,VOF,Country Specialist,https://www.theaic.co.uk/companydata/vinacapital-vietnam-opportunity,"Don Lam, Khanh Vu, Brook Taylor, Michael Kokalari, Dieu Phuong Nguyen",VinaCapital Investment Management,
Witan Investment Trust,,,https://en.wikipedia.org/wiki/Alliance_Witan,,,Merged into Alliance Witan (ALW) Nov 2024 - no longer trades independently; see Alliance Witan row
Worldwide Healthcare Trust,WWH,Healthcare & Biotechnology,https://www.theaic.co.uk/companydata/worldwide-healthcare-trust,"Geoffrey C. Hsu, Trevor M. Polischuk",OrbiMed Capital,
