"trust_name","ticker","aic_sector","is_active","source_url","notes"
"Bankers Investment Trust","BNKR","Global","true","https://www.theaic.co.uk/companydata/bankers",""
"Bellevue Healthcare Trust","CTHT","Healthcare & Biotechnology","true","https://www.theaic.co.uk/companydata/ct-healthcare-trust","Renamed CT Healthcare Trust after Columbia Threadneedle took over management"
"Biopharma Credit","BPCR","Debt - Direct Lending","true","https://www.theaic.co.uk/companydata/biopharma-credit",""
"BlackRock Smaller Companies Trust","BRSC","UK Smaller Companies","true","https://www.theaic.co.uk/companydata/blackrock-smaller-companies",""
"BlackRock Greater Europe Investment Trust","BRGE","Europe","true","https://www.theaic.co.uk/companydata/blackrock-greater-europe",""
"BlackRock Throgmorton Trust","THRB","UK Smaller Companies","true","https://www.theaic.co.uk/companydata/blackrock-throgmorton-trust/performance","Ticker changed from THRG to THRB"
"BlackRock World Mining Trust","BRWM","Commodities & Natural Resources","true","https://www.theaic.co.uk/companydata/blackrock-world-mining",""
"Bluefield Solar Income Fund","BSIF","Renewable Energy Infrastructure","true","https://www.theaic.co.uk/companydata/bluefield-solar-income-fund","Drax agreed GBP548m takeover, Jan 2026 - likely delisting soon"
"Brunner Investment Trust","BUT","Global","true","https://www.theaic.co.uk/companydata/brunner",""
"Caledonia Investments","CLDN","Flexible Investment","true","https://www.theaic.co.uk/companydata/caledonia-investments",""
"Candover Investments","CDI","Private Equity","false","https://en.wikipedia.org/wiki/Candover_Investments","Wound up/liquidated c.2011"
"Capital Gearing Trust","CGT","Flexible Investment","true","https://www.theaic.co.uk/companydata/capital-gearing-trust",""
"Chrysalis Investments","CHRY","Growth Capital","true","https://www.theaic.co.uk/companydata/chrysalis-investments",""
"City of London Investment Trust","CTY","UK Equity Income","true","https://www.theaic.co.uk/companydata/city-of-london-investment-trust",""
"Civitas Social Housing","CSH","Property - UK Residential","false","https://www.theaic.co.uk/aic/news/industry-news/civitas-social-housing-soars-as-cka-group-bids-to-take-reit-private","Taken private by CK Asset Holdings, delisted Aug 2023"
"Cordiant Digital Infrastructure","CORD","Infrastructure","true","https://www.theaic.co.uk/companydata/cordiant-digital-infrastructure",""
"Ecofin Water & Power Opportunities","ECWO","Utilities & Infrastructure (legacy sector, unconfirmed)","false","https://en.wikipedia.org/wiki/Ecofin_Water_%26_Power_Opportunities","Old/legacy fund, no longer in AIC's current dataset; sector unconfirmed"
"Edinburgh Investment Trust","EDIN","UK Equity Income","true","https://www.theaic.co.uk/companydata/edinburgh-investment-trust",""
"Edinburgh Worldwide Investment Trust","EWI","Global Smaller Companies","true","https://www.theaic.co.uk/companydata/edinburgh-worldwide",""
"European Opportunities Trust","EOT","Europe","false","https://www.theaic.co.uk/companydata/european-opportunities-trust","Winding down in 2026; rollover option into JPMorgan European Growth & Income"
"European Smaller Companies Trust","ESCT","European Smaller Companies","true","https://www.theaic.co.uk/companydata/the-european-smaller-companies-trust",""
"Fidelity Asian Values","FAS","Asia Pacific Smaller Companies","true","https://www.theaic.co.uk/companydata/fidelity-asian-values",""
"Fidelity China Special Situations","FCSS","China / Greater China","true","https://www.theaic.co.uk/companydata/fidelity-china-special-situations",""
"Fidelity European Trust","FEV","Europe","true","https://www.theaic.co.uk/companydata/fidelity-european",""
"Fidelity Japan Trust","FJV","Japan","false","https://www.theaic.co.uk/aic/news/industry-news/morning-briefing-fidelity-japan-trust-to-merge-with-avi-japan-opportunity","Merged into AVI Japan Opportunity Trust, completed 2025"
"Fidelity Special Values","FSV","UK All Companies","true","https://www.theaic.co.uk/companydata/fidelity-special-values",""
"F & C Investment Trust","FCIT","Global","true","https://www.theaic.co.uk/companydata/fc-investment-trust",""
"Foresight Environmental Infrastructure","FGEN","Renewable Energy Infrastructure","true","https://www.theaic.co.uk/companydata/foresight-environmental-infrastructure",""
"Foresight Solar Fund","FSFL","Renewable Energy Infrastructure","true","https://www.theaic.co.uk/companydata/foresight-solar-fund",""
"Global Smaller Companies Trust","GSCT","Global Smaller Companies","true","https://www.theaic.co.uk/companydata/the-global-smaller-companies-trust",""
"Hansa Investment Company","HAN","Flexible Investment","true","https://www.theaic.co.uk/companydata/hansa-investment-company-ord-ordinary-share",""
"Henderson European Trust","HET","Europe","true","https://www.theaic.co.uk/companydata/henderson-european-trust",""
"Henderson Far East Income","HFEL","Asia Pacific Equity Income","true","https://www.theaic.co.uk/companydata/henderson-far-east-income",""
"Henderson Smaller Companies Investment Trust","HSL","UK Smaller Companies","true","https://www.theaic.co.uk/companydata/henderson-smaller-companies",""
"Hg Capital Trust","HGT","Private Equity","true","https://www.theaic.co.uk/companydata/hgcapital-trust","Styled HgCapital Trust"
"Impax Environmental Markets","IEM","Environmental","true","https://www.theaic.co.uk/companydata/impax-environmental-markets",""
"Invesco Asia Dragon Trust","IAD","Asia Pacific Equity Income","true","https://www.theaic.co.uk/companydata/invesco-asia-dragon-trust",""
"Invesco Global Equity Income Trust","IGET","Global Equity Income","true","https://www.theaic.co.uk/companydata/invesco-global-equity-income-trust",""
"Island Innovation Trust","","","","","Could not confirm this as an AIC-listed investment trust - possibly confused with Schroders Capital Global Innovation Trust (INOV), listed separately below"
"JPMorgan American Investment Trust","JAM","North America","true","https://www.theaic.co.uk/companydata/jpmorgan-american",""
"JPMorgan Asia Growth & Income","JAGI","Asia Pacific Equity Income","true","https://www.theaic.co.uk/companydata/jpmorgan-asia-growth-income",""
"JPMorgan Claverhouse Investment Trust","JCH","UK Equity Income","true","https://www.theaic.co.uk/companydata/jpmorgan-claverhouse",""
"JPMorgan Emerging Europe Middle East & Africa Securities","JEMA","Global Emerging Markets","true","https://www.theaic.co.uk/companydata/jpmorgan-emerging-europe-middle-east-africa-securities","Now styled without 'Securities' suffix"
"JPMorgan Emerging Markets Dividend Income","JEMI","Global Emerging Markets","true","https://www.theaic.co.uk/companydata/jpmorgan-emerging-markets-dividend-income",""
"JPMorgan Emerging Markets Growth & Income","JMGI","Global Emerging Markets","true","https://www.theaic.co.uk/companydata/jpmorgan-emerging-markets-growth-income",""
"JPMorgan European Discovery","JEDT","European Smaller Companies","true","https://www.theaic.co.uk/companydata/jpmorgan-european-discovery",""
"JPMorgan European Growth & Income","JEGI","Europe","true","https://www.theaic.co.uk/companydata/jpmorgan-european-growth-income",""
"JPMorgan Global Growth & Income","JGGI","Global Equity Income","true","https://www.theaic.co.uk/companydata/jpmorgan-global-growth-income",""
"JPMorgan India Growth & Income","JIGI","India / Indian Subcontinent","true","https://www.theaic.co.uk/companydata/jpmorgan-india-growth-income",""
"JPMorgan Japanese Investment Trust","JFJ","Japan","true","https://www.theaic.co.uk/companydata/jpmorgan-japanese",""
"Law Debenture","LWDB","UK Equity Income","true","https://www.theaic.co.uk/companydata/law-debenture-corporation","Full name Law Debenture Corporation"
"Mercantile Investment Trust","MRC","UK All Companies","true","https://www.theaic.co.uk/companydata/mercantile-investment-trust",""
"Merchants Trust","MRCH","UK Equity Income","true","https://www.theaic.co.uk/companydata/merchants-trust",""
"Mid Wynd International Investment Trust","MWY","Global","true","https://www.theaic.co.uk/companydata/mid-wynd-international",""
"Monks Investment Trust","MNKS","Global","true","https://www.theaic.co.uk/companydata/monks",""
"Murray Income Trust","MUT","UK Equity Income","true","https://www.theaic.co.uk/companydata/murray-income",""
"Murray International Trust","MYI","Global Equity Income","true","https://www.theaic.co.uk/companydata/murray-international",""
"NB Private Equity Partners","NBPE","Private Equity","true","https://www.theaic.co.uk/companydata/neuberger-private-equity-partners","Renamed Neuberger Private Equity Partners; ticker unchanged (NBPE)"
"NextEnergy Solar Fund","NESF","Renewable Energy Infrastructure","true","https://www.theaic.co.uk/companydata/nextenergy-solar-fund",""
"North American Income Trust","NAIT","North America","true","https://www.theaic.co.uk/companydata/north-american-income-trust",""
"North Atlantic Smaller Companies Investment Trust","NAS","Global Smaller Companies","true","https://www.theaic.co.uk/companydata/north-atlantic-smaller-companies",""
"Oakley Capital Investments","OCI","Private Equity","true","https://www.theaic.co.uk/companydata/oakley-capital-investments",""
"Octopus Renewables Infrastructure Trust","ORIT","Renewable Energy Infrastructure","true","https://www.theaic.co.uk/companydata/octopus-renewables-infrastructure",""
"Pacific Horizon Investment Trust","PHI","Asia Pacific","true","https://www.theaic.co.uk/companydata/pacific-horizon-investment-trust",""
"Pantheon Infrastructure","PINT","Infrastructure","true","https://www.theaic.co.uk/companydata/pantheon-infrastructure",""
"Pantheon International","PIN","Private Equity","true","https://www.theaic.co.uk/companydata/pantheon-international",""
"Partners Group Private Equity","PEY","Private Equity","true","https://www.theaic.co.uk/companydata/partners-group-private-equity",""
"Patria Private Equity Trust","PPET","Private Equity","true","https://www.theaic.co.uk/companydata/patria-private-equity-trust",""
"Perpetual Income & Growth Investment Trust","PLI","UK Equity Income","false","https://en.wikipedia.org/wiki/Perpetual_Income_%26_Growth_Investment_Trust","Merged into Temple Bar Investment Trust, c.2020/2021"
"Pershing Square Holdings","PSH","North America","true","https://www.theaic.co.uk/companydata/pershing-square-holdings",""
"Polar Capital Global Financials Trust","PCFT","Financials & Financial Innovation","true","https://www.theaic.co.uk/companydata/polar-capital-global-financials",""
"Polar Capital Global Healthcare Trust","PCGH","Healthcare & Biotechnology","true","https://www.theaic.co.uk/companydata/polar-capital-global-healthcare",""
"Polar Capital Technology Trust","PCT","Technology & Technology Innovation","true","https://www.theaic.co.uk/companydata/polar-capital-technology",""
"PRS REIT","PRSR","Property - UK Residential","false","https://www.theaic.co.uk/aic/news/industry-news/prs-reit-headed-for-the-exit","Shareholders approved voluntary liquidation/delisting late 2025"
"The Renewables Infrastructure Group","TRIG","Renewable Energy Infrastructure","true","https://www.theaic.co.uk/companydata/renewables-infrastructure-group",""
"RIT Capital Partners","RCP","Flexible Investment","true","https://www.theaic.co.uk/companydata/rit-capital-partners",""
"RTW Biotech Opportunities","RTW","Healthcare & Biotechnology","true","https://www.theaic.co.uk/companydata/rtw-biotech-opportunities",""
"Ruffer Investment Company","RICA","Flexible Investment","true","https://www.theaic.co.uk/companydata/ruffer-investment-company",""
"Schiehallion Fund","MNTN","Growth Capital","true","https://www.theaic.co.uk/companydata/schiehallion-fund",""
"Schroder Asian Total Return Investment Company","ATR","Asia Pacific","true","https://www.theaic.co.uk/companydata/schroder-asian-total-return",""
"Schroder AsiaPacific Fund","SDP","Asia Pacific","true","https://www.theaic.co.uk/companydata/schroder-asiapacific-fund",""
"Schroder Income Growth Fund","SCF","UK Equity Income","true","https://www.theaic.co.uk/companydata/schroder-income-growth-fund",""
"Schroder Japan Trust","SJG","Japan","true","https://www.theaic.co.uk/companydata/schroder-japan-trust",""
"Schroder Oriental Income Fund","SOI","Asia Pacific Equity Income","true","https://www.theaic.co.uk/companydata/schroder-oriental-income",""
"Schroders Capital Global Innovation Trust","INOV","Growth Capital","true","https://www.theaic.co.uk/companydata/schroders-capital-global-innovation-trust",""
"Scottish American Investment Company","SAIN","Global Equity Income","true","https://www.theaic.co.uk/companydata/scottish-american",""
"Scottish Investment Trust","SCIN","Global","false","https://en.wikipedia.org/wiki/Scottish_Investment_Trust","Merged into JPMorgan Global Growth & Income, Sept 2022"
"Scottish Mortgage Investment Trust","SMT","Global","true","https://www.theaic.co.uk/companydata/scottish-mortgage",""
"Sequoia Economic Infrastructure Income Fund","SEQI","Infrastructure","true","https://www.theaic.co.uk/companydata/sequoia-economic-infrastructure-income",""
"Seraphim Space Investment Trust","SSIT","Growth Capital","true","https://www.theaic.co.uk/companydata/seraphim-space-investment-trust",""
"Smithson Investment Trust","SSON","Global Smaller Companies","false","https://www.jamessharp.co.uk/market-news/smithson-investment-trust-plc-recommended-proposals-for-the-winding-up-of-the-company/","Winding up proposed Jan 2026"
"Syncona","SYNC","Healthcare & Biotechnology","true","https://www.theaic.co.uk/companydata/syncona",""
"Temple Bar Investment Trust","TMPL","UK Equity Income","true","https://www.theaic.co.uk/companydata/temple-bar-investment-trust",""
"Templeton Emerging Markets Investment Trust","TEM","Global Emerging Markets","true","https://www.theaic.co.uk/companydata/templeton-emerging-markets",""
"TR Property Investment Trust","TRY","Property Securities","true","https://www.theaic.co.uk/companydata/tr-property",""
"Twentyfour Income Fund","TFIF","Debt - Structured Finance","true","https://www.theaic.co.uk/companydata/twentyfour-income-fund",""
"UK Commercial Property REIT","UKCM","Property - UK Commercial","false","https://www.theaic.co.uk/aic/news/industry-news/tritax-big-box-reit-in-merger-talks-with-uk-commercial-property-reit","Merged into Tritax Big Box REIT"
"Utilico Emerging Markets","UEM","Global Emerging Markets","true","https://www.theaic.co.uk/companydata/utilico-emerging-markets-trust",""
"Vietnam Enterprise Investments","VEIL","Country Specialist","true","https://www.theaic.co.uk/companydata/vietnam-enterprise-investments",""
"VinaCapital Vietnam Opportunity Fund","VOF","Country Specialist","true","https://www.theaic.co.uk/companydata/vinacapital-vietnam-opportunity",""
"Witan Investment Trust","","","false","https://en.wikipedia.org/wiki/Alliance_Witan","Merged into Alliance Witan (ALW) Nov 2024 - no longer trades independently; see Alliance Witan row"
"Worldwide Healthcare Trust","WWH","Healthcare & Biotechnology","true","https://www.theaic.co.uk/companydata/worldwide-healthcare-trust",""
